id,fname,lat,long,ename
12166301,ابوزيدآباد,,,
12166302,اردستان,,,
12167407,يزد,,,
12166276,اردبيل,,,
12166277,اصلاندوز,,,
12166278,آبي بيگلو,,,
12166279,بيله سوار,,,
12166280,پارس آباد,,,
12166281,تازه كند,,,
12166282,تازه كندانگوت,,,
12166283,جعفرآباد,,,
12166284,خلخال,,,
12166285,رضي,,,
12166286,سرعين,,,
12166287,عنبران,,,
12166288,فخرآباد,,,
12166289,كلور,,,
12166290,كوراييم,,,
12166291,گرمي,,,
12166292,گيوي,,,
12166293,لاهرود,,,
12166294,مرادلو,,,
12166295,مشگين شهر,,,
12166296,نمين,,,
12166297,نير,,,
12166298,هشتجين,,,
12166299,هير,,,
12166300,ابريشم,,,
12166303,اژيه,,,
12166304,اصفهان,,,
12166305,افوس,,,
12166306,انارك,,,
12166307,ايمانشهر,,,
12166308,آران وبيدگل,,,
12166309,بادرود,,,
12166310,باغ بهادران,,,
12166311,بافران,,,
12166312,برزك,,,
12166313,برف انبار,,,
12166314,بوئين ومياندشت,,,
12166315,بهاران شهر,,,
12166316,بهارستان,,,
12166317,پيربكران,,,
12166318,تودشك,,,
12166319,تيران,,,
12166320,جندق,,,
12166321,جوزدان,,,
12166322,جوشقان وكامو,,,
12166323,چادگان,,,
12166324,چرمهين,,,
12166325,چمگردان,,,
12166326,حبيب آباد,,,
12166327,حسن آباد,,,
12166328,حنا,,,
12166361,فلاورجان,,,
12166329,خالدآباد,,,
12166330,خميني شهر,,,
12166331,خوانسار,,,
12166332,خور,,,
12166333,خوراسگان,,,
12166334,خورزوق,,,
12166335,داران,,,
12166336,دامنه,,,
12166337,درچه پياز,,,
12166338,دستگرد,,,
12166339,دولت آباد,,,
12166340,دهاقان,,,
12166341,دهق,,,
12166342,ديزيچه,,,
12166343,رزوه,,,
12166344,رضوانشهر,,,
12166345,زاينده رود,,,
12166346,زرين شهر,,,
12166347,زواره,,,
12166348,زيباشهر,,,
12166349,سده لنجان,,,
12166350,سفيدشهر,,,
12166351,سگزي,,,
12166352,سميرم,,,
12166353,شاپورآباد,,,
12166354,شاهين شهر,,,
12166355,شهرضا,,,
12166356,طالخونچه,,,
12166357,عسگران,,,
12166358,علويچه,,,
12166359,فرخي,,,
12166360,فريدونشهر,,,
12166362,فولادشهر,,,
12166363,قمصر,,,
12166364,قهجاورستان,,,
12166365,قهدريجان,,,
12166366,كاشان,,,
12166367,كركوند,,,
12166368,كليشادوسودرجان,,,
12166369,كمشچه,,,
12166370,كمه,,,
12166371,كوشك,,,
12166372,كوهپايه,,,
12166373,كهريزسنگ,,,
12166374,گرگاب,,,
12166375,گزبرخوار,,,
12166376,گلپايگان,,,
12166377,گلدشت,,,
12166378,گلشن,,,
12166379,گلشهر,,,
12166380,گوگد,,,
12166381,لاي بيد,,,
12166382,مباركه,,,
12166383,محمدآباد,,,
12166384,مشكات,,,
12166385,منظريه,,,
12166386,مهاباد,,,
12166387,ميمه,,,
12166388,نائين,,,
12166389,نجف آباد,,,
12166390,نصرآباد,,,
12166391,نطنز,,,
12166392,نوش آباد,,,
12166393,نياسر,,,
12166394,نيك آباد,,,
12166395,ورزنه,,,
12166396,ورنامخواست,,,
12166397,وزوان,,,
12166398,ونك,,,
12166399,هرند,,,
12166400,اشتهارد,,,
12166401,آسارا,,,
12166402,تنكمان,,,
12166403,چهارباغ,,,
12166404,سيف آباد,,,
12166405,شهرجديدهشتگرد,,,
12166406,طالقان,,,
12166407,كرج,,,
12166408,كمال شهر,,,
12166409,كوهسار,,,
12166410,گرمدره,,,
12166411,ماهدشت,,,
12166412,محمدشهر,,,
12166413,مشكين دشت,,,
12166414,نظرآباد,,,
12166415,هشتگرد,,,
12166416,اركواز,,,
12166417,ايلام,,,
12166418,ايوان,,,
12166419,آبدانان,,,
12166420,آسمان آباد,,,
12166421,بدره,,,
12166422,پهله,,,
12166423,توحيد,,,
12166424,چوار,,,
12166425,دره شهر,,,
12166426,دلگشا,,,
12166427,دهلران,,,
12166428,زرنه,,,
12166429,سراب باغ,,,
12166430,سرابله,,,
12166431,صالح آباد,,,
12166432,لومار,,,
12166433,مورموري,,,
12166434,موسيان,,,
12166435,مهران,,,
12166436,ميمه,,,
12166437,اسكو,,,
12166438,اهر,,,
12166439,ايلخچي,,,
12166440,آبش احمد,,,
12166441,آذرشهر,,,
12166442,آقكند,,,
12166443,باسمنج,,,
12166444,بخشايش,,,
12166445,بستان آباد,,,
12166446,بناب,,,
12166447,بناب جديد,,,
12166448,تبريز,,,
